course_id,courses_title,courses_description,category,sub_category
1249,A-G Rau Qib 11 Yog Dab Tsi?,"In this lesson, we will cover what A-G requirements are and what you need to do to in your 11th grade year.

Qib 11 yog ib qib uas tseem ceeb heev! Nws yuav npaj koj mus rau qib 12. Yog tias xyoo no koj ua tau zoo, lwm xyoo yuav yooj yim rau koj. Tiam sis yog tias xyoo no koj tsis rau siab, ces lwm xyoo yuav nyuaj heev rau koj. Los peb rov taug cov chav A through G uas koj yuav tsum dhau.",Academic Planning,A-G Requirements
1250,A-G Rau Qib 12 Yog Dab Tsi?,"In this lesson, we will go over the A-G requirements for 12th grade.

Peb rov taug cov chav A txog G uas koj yuav tsum dhau.",Academic Planning,A-G Requirements
1248,A-G Rau Qib 9 Yog Dab Tsi?,"We’ll go over A to G requirements which are important class accomplishments along the way. Every year, you’ll have different ones. As you pass each class, you open up new opportunities when you complete your full high school journey.

Ua ntej peb pib, peb yuav tham txog cov A to G requirements uas yog dej num tseem ceeb koj yuav tsum ua kom tiav. Txhua xyoo, koj yuav muaj cov hom txawv. Thaum koj maj mam kawm tiav cov hom no, nws yuav qhib ntau yam cib fim rau koj taug.",Academic Planning,A-G Requirements
822,Agricultural Business Careers,Learners will explore some of the possible career choices within the agriculture industry. Learners will be able to identify careers within the agriculture industry that they may be interested in.,Career Dives,Agriculture
824,Agricultural Mechanics & Fabrication Careers,Learners will explore some of the possible career choices within the agriculture industry. Learners will be able to identify careers within the agriculture industry that they may be interested in.,Career Dives,Agriculture
667,Agriculture & Natural Resources,You will learn how the agriculture and natural resource industry sector impacts our community and the world as a whole. This lesson will cover a short history and show examples of what the agriculture and natural resource industry sector provides the world.,Industry Exploration,Industries
736,Agriculture & Natural Resources (MUSD),Local spotlight lessons on Madera Unified School District Pathways.,Local Paths,Madera Unified School District
771,Agriculture & Natural Resources (PRJUSD),Local spotlight lessons on Paso Robles Joint Unified School District Pathways.,Local Paths,Paso Robles Joint Unified School District
1246,A-G Yog Dab Tsi?,"We will learn about A-G requirements for high school and what A-G requirements students will need to accomplish by 12th grade.

Yam ib, peb xav kawm txog cov A-G chav kawm uas yuav tsum ua kom tiav nyob rau hauv high school. Thiab yam ob, koj yog ib leej niam los sis ib leej txiv los sis tus neeg saib xyuas ntawm ib tug tub ntxhais kawm uas nyob rau hauv high school.",Academic Planning,A-G Requirements
974,A Healthy Sleep Routine,"In this lesson we’ll cover what stands in the way of sleep, and the things we can do to make sure we get a good night’s rest.",Family Wellness,For the Whole Family
846,Algebra: Systems of Linear Equation,"In mathematics, the theory of linear systems is the basis and a fundamental part of linear algebra. Computational algorithms for finding the solutions are an important part of numerical linear algebra, and play a prominent role in engineering, physics, chemistry, computer science, and economics.",Core Skills,Math
834,Anatomy & Physiology,"Learners will understand and be able to identify anatomical planes, directions, and various systems of the human body.",Core Skills,Natural Science
823,Animal Science Careers,Learners will explore some of the possible career choices within the agriculture industry. Learners will be able to identify careers within the agriculture industry that they may be interested in.,Career Dives,Agriculture
750,An Introduction to Industries,This lesson is a brief overview of all Industry lessons.,Industry Exploration,Introduction
785,Appearance,You will learn about how to dress across formal and informal settings.,Soft Skills,Self-Care
3709,Appearance and Hygiene,"In this lesson, learners will understand how to dress appropriately for different workplace settings, manage grooming standards, and align personal appearance with company culture.

Learning Rubric

Identify basic workplace attire and hygiene standards.
Apply appropriate dress and grooming practices in various professional environments.
Adapt personal appearance to enhance professional presence and meet company expectations.",Workforce Essentials,Phase 1: Must Haves
668,"Arts, Media, & Entertainment","You will learn how the arts, media and entertainment industry sector impacts our community and the world as a whole.  This lesson will cover a short history and show examples of what the arts, media and entertainment industry sector provides the world.",Industry Exploration,Industries
735,"Arts, Media, & Entertainment (MUSD)",Local spotlight lessons on Madera Unified School District Pathways.,Local Paths,Madera Unified School District
753,"Arts, Video, & Entertainment (PRJUSD)",Local spotlight lessons on Paso Robles Joint Unified School District Pathways.,Local Paths,Paso Robles Joint Unified School District
786,Attention,You will learn why attention matters and ways to be more attentive.,Soft Skills,Behaviors
3841,Beating Burnout,"Learners will explore techniques to recognize, manage, and reduce burnout in professional settings. They will apply practical strategies to maintain focus, productivity, and well-being in high-pressure environments.

Learner Rubric: 

List impacts of burnout on workplace performance, health, and relationships.
Compare and contrast energy-creating activities with energy-draining activities.
Create an Energy Spectrum Board to gain awareness of your energy creating and energy depleting activities.",Workforce Essentials,Phase 3: Teamwork
3379,Being Over Doing: Deep Questions,"In this supporting video, learn what deep or meaningful questions are and what impact they make in developing understanding and improving communication.",Leadership Series,Being Over Doing
3412,Being Over Doing: Four Meaningful Questions,"In this lesson, participants are encouraged to shift their perspective on common questions to foster deeper, more meaningful conversations. By rephrasing questions like “What do you want to be when you grow up?” and “What do you do?”, the focus moves from roles and future aspirations to values, purpose, and introspection. This approach aims to generate authentic dialogue, build camaraderie, and encourage personal growth.",Leadership Series,Being Over Doing
2719,Being Over Doing Training,"At the end of this training, participants will walk away with a better understanding of how to facilitate the Being Over Doing workshop.

Click on Train the Trainer presentation link for Being Over Doing here:
https://drive.google.com/drive/folders/1PTROXc9efNk78YxarlWI0aEZGBThCJPr?usp=drive_link

Key Takeaways: 
https://drive.google.com/drive/u/0/folders/1PTROXc9efNk78YxarlWI0aEZGBThCJPr

Make a copy of the presentation and follow along while watching the digital training lesson.",Leadership Series,Being Over Doing
3677,Being Proactive,"In this lesson, learners will understand proactive behavior, anticipate challenges, and take initiative to improve efficiency.

Learning Rubric

Understand importance of proactivity.
Identify and take proactive measures in given scenarios. 
Implement proactive strategies that enhance team efficiency and innovation.",Workforce Essentials,Phase 2: Work Basics
825,Biotechnology Careers,Learners will explore some of the possible career choices within the agriculture industry. Learners will be able to identify careers within the agriculture industry that they may be interested in.,Career Dives,Agriculture
787,Body Language,You will learn about body language and how it conveys different messages to others.,Soft Skills,Behaviors
803,Brand Your Story,"Learn how to tell your own story, using the classic template of ""The Hero's Journey.""",Soft Skills,Reasoning
4402,Breath,"This lesson helps students recognize the connection between their breath and emotions. Through guided practice, they will learn how noticing their breath can create space for better decision-making in difficult moments.

Learner Rubric
Observe and compare their breathing without changing it, recognizing how breath reflects emotional states.
Practice mindful breathing by noticing three breaths without judgment.
Reflect on past emotional reactions and explore how pausing for three breaths could shift their response.",Life Ready Skills,Mindfulness
1204,Building and Construction Trades (MUSD),"In this pathway, students engage in learning that focus on the Building and Construction Trades industry. Students learn about topics like cabinetry, millwork, woodworking, construction, and mechanical systems installation and repair.",Local Paths,Madera Unified School District
669,Building & Construction Trades,You will learn how the building and construction trade industry sector impacts our community and the world as a whole. This lesson will cover a short history and show examples of what the building and construction trade industry sector provides the world.,Industry Exploration,Industries
758,Building & Construction Trades (MUSD),Local spotlight lessons on Madera Unified School District Pathways.,Local Paths,Madera Unified School District
778,Building & Construction Trades (PRJUSD),Local spotlight lessons on Paso Robles Joint Unified School District Pathways.,Local Paths,Paso Robles Joint Unified School District
818,Building Relationships,"At the end of this lesson, you will understand:

• The benefits & importance of having diverse relationships;
• What the affinity bias is and how it can affect the diversity of your relationships;
• The different stages of friendship;
• The importance of putting effort into your relationships;
• How to diversify your relationships",Social & Emotional Learning,Relationship Skills
845,Business & Finance (MUSD),Local spotlight lessons on Madera Unified School District Pathways.,Local Paths,Madera Unified School District
755,Business & Finance (PRJUSD),Local spotlight lessons on Paso Robles Joint Unified School District Pathways.,Local Paths,Paso Robles Joint Unified School District
830,Camera Gear,"Learners will understand basic equipment use, fundamental camera settings, and production etiquette.",Core Skills,Art
835,Camera Settings,"Learners will understand basic equipment use, fundamental camera settings, and production etiquette.",Core Skills,Art
795,Cardiovascular Tech II,"Cardiovascular technicians aid physicians in diagnosis and treatment of heart, lung, and blood vessel disorders by conducting invasive and non-invasive diagnostic tests of cardiovascular and pulmonary systems, maintaining equipment, and recording test results.",Career Dives,Health Science & Medical Technology
864,Carpet Maintenance,"Carpet and upholstery cleaning is performed to remove stains, dirt, and allergens. The common methods of cleaning include hot water extraction, dry-cleaning, and vacuuming.

In this lesson, we’ll cover bonnet carpet cleaning, extraction carpet cleaning, and upholstery cleaning.",Workplace Skills,Custodial
4270,Changing Thought Patterns,"Learners will recognize how self-talk influences their mindset. They will learn to reframe negative thoughts, nurture positive ones, and develop habits that support a growth perspective.

Learning Rubric

Learners will identify and assess their self-talk to recognize patterns of positive and negative thinking.

Learners Reframe negative thoughts by shifting their language.

Learners will strengthen positive thought patterns using different strategies.",Life Ready Skills,Mindset
809,Choose Your Path,"At the end of this lesson, you will understand:

• The resources you'll need to invest in identifying your career path;
• A step-by-step approach to finding a career path that works best for you",Social & Emotional Learning,Self-Management
821,Civic Engagement,"At the end of this lesson, you will understand:

• The dynamic nature of the law and how you can impact it;
• What civic engagement is, & the different types of civic engagement;
• Benefits of being civically engaged;
• How to build a civic mindset & get engaged",Social & Emotional Learning,Ethical Decision Maker
865,Classroom Cleaning,"Cleaning school classrooms is an important part of keeping our teachers and students safe and healthy. Classrooms can be ground zero for spreading germs as it’s a space where people come into close contact with one another. Because of this, they’ll need to be cleaned and disinfected routinely. Throughout the school week, you play an integral part in every classroom’s hygienic practices. In this lesson, we’ll cover dust mopping, spot cleaning, and sink cleaning.",Workplace Skills,Custodial
273,Clearly Defining What You Want,The first step in beginning a job search is to understand what you’re looking for.,Work Skills,Job Search
807,Clinical Decision Support Analyst III,"Clinical Decision Support Analysts work closely with other Quantitative Analysts in the design, methodology, statistical analysis and presentation of Quality Improvement measurement activities at Community Medical Centers.",Career Dives,Health Science & Medical Technology
764,Clinical Pharmacist,"Clinical Pharmacists dispense prescription medications to patients and offer expertise in the safe use of prescriptions within a medical facility. They also may conduct health and wellness screenings, provide immunizations, oversee the medications given to patients, and provide advice on healthy lifestyles.",Career Dives,Health Science & Medical Technology
796,Clinical Supervisor of Ultrasound,"Clinical Supervisor of Ultrasound functions as a healthcare provider who, working under the delegated
authority of the supervising physician, serves as a medical imaging professional who provides
clinically relevant information to assist the physician with the diagnosis and treatment of
patients.",Career Dives,Health Science & Medical Technology
859,CMAC Series: Know Your Sources & Media Bias,All media has a bias. Learn from Lisa how to determine the bias and factualness of the media you're interacting with and figuring out where the media is originating from.,Core Skills,Art
858,CMAC Series: What is Media Literacy?,What is Media Literacy and why is it important? Natalie breaks down how media is all around us (seriously) and how to navigate the world of media we live in.,Core Skills,Art
4040,Coaching Group Research Questionnaire,Coaching Group Research Questionnaire for Workforce Essentials,Workforce Essentials,Phase 4: Professional Application
742,Cognitive Flexibility,"At the end of this lesson, you will understand:

• What cognitive flexibility is & how it relates to adaptability;
• Why cognitive flexibility is an important skill & how it can benefit you in a rapidly evolving world;
• What cognitive biases are & how they affect cognitive flexibility;
• How to improve your cognitive flexibility",Social & Emotional Learning,Global Awareness
1894,Collaborate,"Collaboration is an element of Madera Unified's Graduate Profile. In this lesson, participants will learn about collaboration, a simple process for collaborating (a condensed version of design thinking), and put that process into practice.

Learning Rubric
Beginning: Learners will be able to identify what collaboration is.
Applying: Learners will be able to identify a collaborative process.
Exemplary: Learners will be able to collaborate in teams on projects.",Social & Emotional Learning,Relationship Skills
1762,Communicate,"Communicate is an element of Madera Unified's Graduate Profile. In this lesson, participants will learn what communication is, 3 ways to communicate information, and go through an activity to apply one communication method.

Learning Rubric
Beginning: Learners will understand different communication styles.
Applying: Learners will be able to apply at least 1 communication style.
Exemplary: Learners will be able to apply at least 2 communication styles.",Social & Emotional Learning,Social Awareness
1335,Communication,"In this lesson, learners will go over the things that make up communication and how to communicate effectively to accomplish a task. 

Learning Rubric
Developing: Define communication model (sender, information, receiver). 
Applying: Utilize 4W1H communication template to communicate with people. 
Exemplary: Consistently communicate clearly and respectfully with little miscommunication.

Worksheet
https://drive.google.com/file/d/1VoUPLOPlKwgMvejU9hmsXAHUK52vI-bH/view",Social & Emotional Learning,Relationship Skills
655,Communication Skills,"At the end of this lesson, you will understand:

• The different ways we communicate;
• What explicit & implicit communication are;
• The causes of miscommunication & misunderstanding;
• How to reflect on your own communication",Social & Emotional Learning,Relationship Skills
849,Concise Communication,"In this lesson, we’ll cover a tool to help with succinct communication. This tool guides participants to express their thoughts in a fixed time frame to ensure all participants an equal amount of time to be heard. At the end of this lesson, participants should be able to use this tool in classrooms, meetings, or in any setting where there are multiple speakers.",Up Skills,Social-Awareness
812,Conflict Resolution,"At the end of this lesson, you will understand:

• What conflict resolution is & why it's important;
• The steps of conflict resolution; 
• The importance of asking questions to resolve conflicts;
• The different resolution approaches and which of these offer the best outcome;
• How to effectively navigate conflict resolution",Social & Emotional Learning,Relationship Skills
1828,Conflict Resolution at Work,"Learners will learn about people in conflict, analyze its causes and impact on the workplace, and take a step-by-step approach to resolving them. The lesson emphasizes the cooperative nature of conflict resolution and the potential to rebuild strained relationships.

Learning Rubric
Beginning: Learners will be able to define conflict resolution.
Developing: Learners will be able to identify steps to resolve conflict.
Exemplary: Learners will be able to apply conflict resolution steps.",Up Skills,Ethical Decision Maker
1795,Construction Culture,"Learners will dive into the barriers to diversity, understand the obstacles faced by women, and then pivot towards actionable tools and strategies to overcome these barriers.

Learning Rubric
Beginning: Learners will be able to identify the barriers women in construction face.
Developing: Learners will be able to to combat the barriers in construction.
Exemplary: Learners will be able to create and promote a more inclusive workforce in the construction trades.",Up Skills,Global Awareness
1696,Contribute,"Contribute is an element of Madera Unified's Graduate Profile. In this lesson, participants will learn about the idea of contribution and the importance of contributing to something larger than themselves.

Beginning: Learners will be able to identify what contribution is and why it’s important.
Applying: Learners will be able to work as a team on something larger than themselves. 
Exemplary: Learners will be able to contribute across different environments consistently.",Social & Emotional Learning,Social Awareness
749,Convergent Thinking,"At the end of this lesson, you will understand:

• What convergent thinking is and how it relates to the scientific process;
• How to judge if information is reliable and valid, and why you should consider this;
• The value of using convergent thinking to find knowledge and solve problems;
• Everybody, including you, can use convergent thinking to find accurate knowledge",Social & Emotional Learning,Global Awareness
2950,Core Values: Being Authentic With Your Actions,Understand the importance of self awareness and acting aligned with your values.,Leadership Series,Core Values
2884,Core Values: Identifying Your Values,Learn why it's important to understand your values and explore an exercise to help uncover your deepest values.,Leadership Series,Core Values
2720,Core Values Training,"At the end of this training, participants will walk away with a better understanding of how to facilitate the Core Values workshop.

Click on Train the Trainer presentations link for Core Values here:
https://drive.google.com/drive/folders/123iJeFGbnwjDMYmeForlBVnmGG68xNxH?usp=drive_link 

Make a copy of the presentation and follow along while watching the digital training lesson.

Download a PDF of the Core Values Activity and Key Takeaways here:
https://drive.google.com/drive/u/0/folders/123iJeFGbnwjDMYmeForlBVnmGG68xNxH",Leadership Series,Core Values
277,Creating a Daily System,"Creating an organized daily system can be the key to helping you stay on track, accomplish daily goals, and quickly receive your next job offer.",Work Skills,Job Search
1303,Creating Support,"In this lesson, participants will learn about the different types of support, tips on how to grow their network, and how to start mapping their support system.

Learner Rubric
Developing: Ability to define what support is.
Applying: Ability to identify what types of support a person wants/needs.
Exemplary: Ability to map out one's own support network.

Worksheet:
drive.google.com/file/d/1JwrhBxHZZZvfMNzjsVFJBo2W3ShonAOE",Social & Emotional Learning,Self-Management
3874,Creative Thinking,"Learners will explore how to approach challenges with innovation and flexibility. They will practice techniques to generate fresh ideas, solve problems creatively, and contribute innovative solutions to their teams.

Learner Rubric:

Identify the importance of creative thinking in driving innovation, problem-solving, and improvement in the workplace.
Demonstrate creative thinking techniques, such as brainstorming, lateral thinking, and idea generation.
Apply creative thinking strategies to tackle workplace challenges.",Workforce Essentials,Phase 4: Professional Application
831,Crime Scene Investigation,Learners will understand what a crime scene is and how to set up a crime scene.,Core Skills,Social Science
663,CTTP Orientation,CTTP Orientation Lesson,Archive,Other
1239,¿Cuáles Son Los Requisitos de Graduación?,"Para obtener un diploma de escuela secundaria, los estudiantes deben completar un total de 230 créditos en una variedad de áreas temáticas durante 4 años. En esta lección, cubriremos cuáles son los requisitos de graduación y cómo los estudiantes pueden obtenerlos. En esta lección, repasaremos cuáles son estos requisitos. y haremos que este proceso sea interactivo para que pueda verificar y ayudar a su estudiante a monitorear su progreso.",Academic Planning,Graduation Requirements
2455,Cultural Awareness,"This lesson explores the concepts of cultural awareness and sensitivity. It discusses the importance of understanding and respecting diverse cultures, with an activity that allows learners to express their own cultural background.

Learning Rubric
Beginner: Learners can identify and define cultural awareness and sensitivity.
Applying: Learners can show understanding and respect for different cultures.
Exemplary: Learners can empathize and communicate effectively across cultures and perspectives.",Social & Emotional Learning,Social Awareness
3676,Customer Service,"In this lesson, learners will understand that customer service is how a business interacts with customers, learn its impact on company success, and develop four key skills: greeting, active listening, empathy, and problem-solving.

Learning Rubric

Identify basic customer service skills.
Apply these skills to common scenarios.
Handle challenging situations while maintaining customer satisfaction.",Workforce Essentials,Phase 1: Must Haves
4006,Decision Making Using Force Field Analysis,"In this lesson, participants will learn how to use Force Field Analysis, a decision-making technique that helps people evaluate the forces for and against a particular change.

Learner Rubric 

Define the concept of Force Field Analysis and identify a change or decision to analyze. 
List driving and restraining forces and assign scores based on their impact.
Analyze the results and develop strategies to enhance driving forces or mitigate restraining forces.",Workforce Essentials,Phase 4: Professional Application
468,Describe a Conflict and Its Resolution – Do’s & Don’ts (Experienced),A question about Conflict Resolution is a behavior-based question. The interviewer asks these questions because they believe that past behavior and performance predicts future behavior and performance.,Work Skills,Interviewing Questions (Experienced)
626,Describe a Conflict and Its Resolution – Your Answer (Experienced),In this course we help you create your own custom answer to the question 'Describe a Conflict and Its Resolution',Work Skills,Interviewing Questions (Experienced)
152,Describe a Conflict & Its Resolution - Español (Inexperienced),Describe a Conflict & Its Resolution - Español / Top 5 Questions for the Inexperienced - A question about conflict resolution could have several different objectives. The interviewer may be seeking insight into how you might handle challenging issues that come up at work.,Work Skills,Interviewing Questions (Inexperienced)
153,Describe a Conflict & Its Resolution (Inexperienced),A question about conflict resolution has several different objectives and will tell an interviewer a great deal about you as a potential employee.,Work Skills,Interviewing Questions (Inexperienced)
641,Design Solutions,"At the end of this lesson, you will understand:

• What design thinking is & when you should use it;
• How design thinking is related to problem-solving;
• The 5 steps of design thinking",Social & Emotional Learning,Ethical Decision Maker
747,Design Thinking,"At the end of this lesson, you will understand:

• The pervasiveness of design in your world;
• How to use a beginners mindset to identify ways to improve existing designs;
• The value and benefit of seeing existing designs as malleable;
• How to practice and improve design thinking skills",Social & Emotional Learning,Global Awareness
937,Design Thinking for Education,"This course will cover the process of design thinking, the mindsets to adopt, and a variety of tools for creative problem solving.

Skills to learn: Collaboration, conduct user research, analyze qualitative information, synthesize qualitative information, use synthesized information to develop a design challenge, ideate traditional and radical solutions, prototype, obtain user feedback, and use feedback to make changes.",Design Skills,Service Design
50,Developing a Winning Mindset,A winning mindset is critical to your success.,Work Skills,Preparation
644,Digital Communication,"At the end of this lesson, you will understand:

• What digital communication is;
• How digital communication affects us and the way we interact with other people;
• The advantages of digital communication;
• The permanency of digital messages and how to safely navigate digital communication",Social & Emotional Learning,Relationship Skills
643,Digital Ethics,"At the end of this lesson, you will understand:

• How digital tools create opportunity for the abuse of power;
• What ethics are and how they apply to the digital world;
• The importance of thinking about digital ethics;
• Behaviors that are unethical in the digital world",Social & Emotional Learning,Ethical Decision Maker
645,Digital Investigation,"At the end of this lesson, you will understand:

• How digital tools have impacted research & problem-solving;
• How to use digital tools to investigate topics you're interested in & draw conclusions from the information you find;
• The circular nature of research",Social & Emotional Learning,Global Awareness
2521,Digital Literacy,"This lesson dives into digital literacy, breaking it into three levels—understanding, applying, and adapting—with a focus on search. It addresses how these skills are pivotal in both everyday situations and professional environments.

Learning Rubric
Beginning: Learners will be able to understand what it means to be digitally literate
Applying: Learners will be able to use different search tools to find information
Exemplary: Learners will be able to use search tools to learn new skills",Tech Skills,Software
642,Digital Safety,"At the end of this lesson, you will understand:

• The difference between private & public information;
• The difference between sharing information digitally & in-person;
• How you can be safe in the digital world",Social & Emotional Learning,Self-Management
